"aaln","name","house","birthdate","balance"
"065018",Imani Jarvis,Ravenclaw,1961-01-08,34769.0
"676971",Zayden Choi,Slyth,1998-05-01,35768.0
"716960",Frankie Campos,SLYTHERIN,2013-11-13,22132.0
"919728",Keshawn Flynn,Hufflepuff,1957-09-01,39073.0
"401014",Marlon Hunter,Mahoutokoro,2011-08-16,33198.0
"070679",Tessa Peters,Beauxbatons,1993-01-18,14654.0
"001378",Jazlynn Robles,Lions,1963-04-22,19491.0
"522601",Bentley Bartlett,Jigglypuff,1962-08-21,40379.0
"638275",Amelie Saunders,HUFFLEPUFF,1954-10-13,43199.0
"431605",Christine Norton,Ravenclaw,1998-05-15,11704.0
"369326",Cassandra Duarte,Gryffindor,2005-09-03,6305.0
"628524",Jude Ochoa,SLYTHERIN,2005-07-19,26066.0
"524700",Dwayne Blevins,SLYTHERIN,1990-06-12,39132.0
"176932",Stephen Copeland,Slytherin,2012-08-30,19334.0
"074447",Kaylin Higgins,RAVENCLAW,2012-05-05,8761.0
"212266",Maddox Irwin,Ravenclaw,1993-12-28,43508.0
"700322",Jaylene Duncan,Huffle,1982-11-19,22010.0
"561064",Tabitha Montgomery,ravenclaw,1970-06-08,13142.0
"980264",Nola Cruz,raven,1957-01-10,19452.0
"071136",Julissa Shea,R,1990-05-09,35901.0
"01564",Elsa Rivers,R,2006-02-14,41840.0
"523192",Mark Robinson,Hufflepuff,1991-10-05,47833.0
"886138",Ciara Hoover,Durmstrang,1972-06-04,3608.0
"586267",Haleigh Kline,"",1955-02-27,29749.0
"881826",Layne Whitney,griffindor,2002-06-03,31077.0
"350585",Matthew Stokes,HUFFLE,1959-12-16,14785.0
"076906",Santino Perez,Slytherin,1983-05-06,10774.0
"876513",Sasha Browning,RA,1975-05-14,32811.0
"632717",Manuel Parker,Ravenclaw,1972-05-11,23761.0
"205050",Fisher Barnes, ,2005-07-18,33844.0
"314135",Denisse Salas,SL,1960-08-30,40757.0
"175276",Kaley George,SLYTHERIN,2013-04-27,42783.0
"547276",Eli Howard,HUFFLEPUFF,1994-01-21,6132.0
"501708",Virginia Downs,Gryffindor,1974-12-14,40841.0
"296741",Andre Riddle,H,2004-11-19,37064.0
"131414",Omar Bonilla,GR,1961-12-27,29594.0
"134781",Max Singh,Hufflepuff,1960-05-22,8441.0
